file_id,precision,recall,hmean,filename
1,0.98630137,0.974683544,0.980458042,202209_10.png
2,0.9,0.919480519,0.909635974,202209_11.png
3,0.894736842,0.868131868,0.881233596,202209_12.png
4,0.890625,0.797619048,0.841560159,202209_13.png
5,0.96,0.907865169,0.933205005,202209_14.png
10,0.858666667,0.798019802,0.827233174,202209_15.png
11,0.768,0.752830189,0.760339437,202209_16.png
12,0.810126582,0.76,0.784263141,202209_17.png
13,0.830588235,0.850526316,0.840439042,202209_18.png
14,0.8875,0.8,0.841481481,202209_19.png
15,0.873333333,0.854945055,0.864041372,202209_2.png
16,0.835820896,0.835443038,0.835631924,202209_20.png
17,0.806451613,0.794871795,0.800619835,202209_21.png
18,0.814814815,0.710526316,0.759105431,202209_22.png
19,0.910769231,0.918987342,0.914859831,202209_23.png
20,0.785714286,0.768292683,0.77690583,202209_24.png
21,0.844155844,0.885416667,0.864294095,202209_25.png
22,0.86835443,0.770454545,0.816480295,202209_26.png
23,0.859375,0.894117647,0.876402139,202209_27.png
24,0.915254237,0.911111111,0.913177975,202209_28.png
25,0.813559322,0.73255814,0.770936902,202209_29.png
26,0.7875,0.778947368,0.783200336,202209_3.png
27,0.879310345,0.772151899,0.822254526,202209_30.png
28,0.888888889,0.898989899,0.89391086,202209_31.png
29,0.892753623,0.755789474,0.818581925,202209_32.png
30,0.81038961,0.688659794,0.744582187,202209_33.png
31,0.905660377,0.670731707,0.77069041,202209_34.png
32,0.877419355,0.786666667,0.829568364,202209_35.png
33,0.843333333,0.885,0.863664417,202209_36.png
34,0.855072464,0.882352941,0.868498528,202209_37.png
35,0.946341463,0.893023256,0.918909584,202209_38.png
36,0.894736842,0.93902439,0.916345817,202209_39.png
37,0.862745098,0.768115942,0.812685137,202209_4.png
38,0.821428571,0.680555556,0.744385733,202209_40.png
39,0.783870968,0.853333333,0.817128596,202209_41.png
40,0.873846154,0.908571429,0.89087053,202209_42.png
41,0.894736842,0.787234043,0.837549933,202209_43.png
42,0.886486486,0.834782609,0.859858001,202209_44.png
43,0.86744186,0.854945055,0.861148122,202209_45.png
44,0.868421053,0.847826087,0.858,202209_46.png
45,0.8,0.776595745,0.788124157,202209_47.png
46,0.896153846,0.767567568,0.826891596,202209_48.png
47,0.861333333,0.843298969,0.852220753,202209_49.png
48,0.703125,0.777777778,0.738569754,202209_5.png
49,0.905882353,0.918367347,0.912082127,202209_50.png
50,0.913580247,0.918367347,0.915967542,202209_51.png
51,0.841025641,0.808421053,0.8244011,202209_52.png
52,0.789473684,0.757894737,0.773361976,202209_6.png
53,0.82278481,0.85,0.836171018,202209_7.png
54,0.842105263,0.824175824,0.833044082,202209_8.png
55,0.875,0.80952381,0.840989399,202209_9.png
56,0.889411765,0.840449438,0.864237682,≤‚ ‘20_1.png
57,0.884615385,0.904255319,0.894327539,≤‚ ‘20_10.png
58,0.855913978,0.880851064,0.868203493,≤‚ ‘20_11.png
59,0.95890411,0.95890411,0.95890411,≤‚ ‘20_12.png
60,0.78125,0.581395349,0.666666667,≤‚ ‘20_13.png
61,0.821333333,0.776923077,0.798511198,≤‚ ‘20_14.png
62,0.794666667,0.775925926,0.785184486,≤‚ ‘20_15.png
63,0.818823529,0.83125,0.824989974,≤‚ ‘20_16.png
64,0.796875,0.835294118,0.815632391,≤‚ ‘20_17.png
65,0.875,0.79,0.83033033,≤‚ ‘20_18.png
66,0.826086957,0.847058824,0.836441455,≤‚ ‘20_19.png
67,0.766666667,0.734042553,0.75,≤‚ ‘20_2.png
68,0.788235294,0.816326531,0.802035014,≤‚ ‘20_20.png
69,0.938271605,0.948453608,0.943335132,≤‚ ‘20_3.png
70,0.892307692,0.850526316,0.870916187,≤‚ ‘20_4.png
71,0.776315789,0.747368421,0.76156713,≤‚ ‘20_5.png
72,0.828125,0.844444444,0.836205107,≤‚ ‘20_6.png
